rating,star,title,quote,writer,director,link,year,genre
9.1,"金艺芬,俞承豪,童孝熙",爱·回家 집으로...,献给所有外婆的电影。,李廷香,李廷香,"http://www.thewayhome.co.kr,http://www.imdb.com/title/tt0312841",2002,"剧情,家庭,儿童"
8.4,"马尔科姆·麦克道威尔,帕特里克·马基,迈克尔·贝茨",发条橙 A Clockwork Orange,我完全康复了。,"斯坦利·库布里克,安东尼·伯吉斯",斯坦利·库布里克,http://www.imdb.com/title/tt0066921,1971,"剧情,科幻,犯罪"
8.6,"凯文·史派西,史蒂芬·鲍德温,加布里埃尔·伯恩",非常嫌疑犯 The Usual Suspects,我不信仰上帝，但我敬畏上帝。,Christopher McQuarrie,布莱恩·辛格,http://www.imdb.com/title/tt0114814,1995,"剧情,悬疑,惊悚,犯罪"
8.6,"Marius Weyers,Sandra Prinsloo,历苏",上帝也疯狂 The Gods Must Be Crazy,纯净原始的笑与感动。,加美·尤伊斯,加美·尤伊斯,http://www.imdb.com/title/tt0080801,1980,喜剧
8.8,"珍妮特·利,安东尼·博金斯,维拉·迈尔斯",惊魂记 Psycho,故事的反转与反转，分裂电影的始祖。,"约瑟夫·斯蒂凡诺,罗伯特·布洛克",阿尔弗雷德·希区柯克,http://www.imdb.com/title/tt0054215,1960,"悬疑,恐怖"
8.7,"凯文·史派西,凯特·温丝莱特,劳拉·琳妮",大卫·戈尔的一生 The Life of David Gale,捍卫人权只是信仰，一点不妨碍其行为的残忍。,Charles Randolph,艾伦·帕克,http://www.imdb.com/title/tt0289992,2003,"剧情,悬疑,犯罪"
9.2,"查理·卓别林,弗吉尼亚·切瑞尔,佛罗伦斯·李",城市之光 City Lights,永远的小人物，伟大的卓别林。,"查理·卓别林,Harry Clive,Harry Crocker",查理·卓别林,http://www.imdb.com/title/tt0021749,1931,"剧情,喜剧,爱情"
9.1,"笠智众,原节子,杉村春子",东京物语 東京物語,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,"野田高梧,小津安二郎",小津安二郎,http://www.imdb.com/title/tt0046438,1953,"剧情,家庭"
8.6,"马修·麦康纳,詹妮弗·加纳,杰瑞德·莱托",达拉斯买家俱乐部 Dallas Buyers Club,Jared Leto的腿比女人还美！,"克莱格·鲍登,梅丽莎·沃雷克",让-马克·瓦雷,http://www.imdb.com/title/tt0790636,2013,"剧情,同性,传记"
8.5,"杰米·福克斯,莱昂纳多·迪卡普里奥,克里斯托弗·沃尔兹",被解救的姜戈 Django Unchained,热血沸腾，那个低俗、性感的无耻混蛋又来了。,昆汀·塔伦蒂诺,昆汀·塔伦蒂诺,"http://unchainedmovie.com,http://www.imdb.com/title/tt1853728",2012,"剧情,动作,西部,冒险"
8.4,"布拉德·皮特,梅拉尼·罗兰,克里斯托弗·沃尔兹",无耻混蛋 Inglourious Basterds,昆汀同学越来越变态了，比北野武还杜琪峰。,昆汀·塔伦蒂诺,昆汀·塔伦蒂诺,http://www.imdb.com/title/tt0361748,2009,"剧情,犯罪"
8.5,"布拉德·皮特,本尼西奥·德尔·托罗,杰森·斯坦森",偷拐抢骗 Snatch,典型盖·里奇式的英国黑色幽默黑帮片。,盖·里奇,盖·里奇,http://www.imdb.com/title/tt0208092,2000,"喜剧,犯罪"
8.5,"杰克·尼科尔森,摩根·弗里曼,西恩·海耶斯",遗愿清单 The Bucket List,用剩余不多的时间，去燃烧整个生命。,Justin Zackham,罗伯·莱纳,http://www.imdb.com/title/tt0825232,2007,"剧情,喜剧,冒险"
8.3,"张曼玉,王祖贤,赵文卓",青蛇,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,"李碧华,徐克",徐克,http://www.imdb.com/title/tt0106559,1993,"剧情,奇幻,古装"
8.4,"张曼玉,林青霞,梁家辉",新龙门客栈 新龍門客棧,嬉笑怒骂，调风动月。,"徐克,张炭,何冀平",李惠民,http://www.imdb.com/title/tt0105859,1992,"剧情,动作,武侠,古装"
9.1,"克林特·伊斯特伍德,埃里·瓦拉赫,李·范·克里夫","黄金三镖客 Il buono, il brutto, il cattivo.",最棒的西部片。,"艾根诺尔·因克鲁西,富里奥·斯卡派利,卢西亚诺·文森佐尼,赛尔乔·莱翁内",赛尔乔·莱翁内,http://www.imdb.com/title/tt0060196,1966,"西部,冒险"
